Generation, Best Fitness
1,620
2,620
3,620
4,620
5,629
6,629
7,629
8,629
9,629
10,629
11,629
12,629
13,629
14,629
15,629
16,629
17,725
18,725
19,725
20,725
21,725
22,725
23,725
24,725
25,725
26,725
27,725
28,725
29,725
30,725
31,725
32,725
33,725
34,725
35,725
36,725
37,725
38,725
39,725
40,725
41,725
42,725
43,725
44,725
45,725
46,725
47,725
48,725
49,725
50,725
51,725
52,725
53,725
54,840
55,840
56,840
57,840
58,840
59,840
60,840
61,840
62,840
63,840
64,840
65,840
66,840
67,840
68,840
69,840
70,840
71,840
72,840
73,840
74,840
75,840
76,840
77,840
78,840
79,840
80,840
81,840
82,840
83,840
84,840
85,840
86,840
87,840
88,840
89,840
90,840
91,840
92,840
93,840
94,840
95,840
96,840
97,840
98,840
99,840
100,840
101,840
102,840
103,840
104,840
105,840
106,840
107,840
108,840
109,840
110,840
111,840
112,840
113,840
114,840
115,840
116,840
117,840
118,840
119,840
120,840
121,840
122,840
123,840
124,840
125,840
126,840
127,840
128,840
129,840
130,840
131,840
132,840
133,840
134,840
135,840
136,840
137,840
138,840
139,840
140,840
141,840
142,840
143,840
144,840
145,840
146,840
147,840
148,840
149,840
150,840
151,840
152,840
153,840
154,840
155,840
156,840
157,840
158,840
159,840
160,840
161,840
162,840
163,840
164,840
165,840
166,840
167,840
168,840
169,840
170,840
171,840
172,840
173,840
174,840
175,840
176,840
177,840
178,840
179,840
180,840
181,840
182,840
183,840
184,840
185,840
186,840
187,840
188,840
189,840
190,840
191,840
192,840
193,840
194,840
195,840
196,840
197,840
198,840
199,840
200,840
201,840
202,840
203,840
204,840
205,840
206,840
207,840
208,840
209,840
210,840
211,840
212,840
213,840
214,840
215,840
216,840
217,840
218,840
219,840
220,840
221,840
222,840
223,840
224,840
225,840
226,840
227,840
228,840
229,840
230,840
231,840
232,840
233,840
234,840
235,840
236,840
237,840
238,840
239,840
240,840
241,840
242,840
243,840
244,840
245,840
246,840
247,840
248,840
249,840
250,840
251,840
252,840
253,840
254,840
255,840
256,840
257,840
258,840
259,840
260,840
261,840
262,840
263,840
264,840
265,840
266,840
267,840
268,840
269,840
270,840
271,840
272,840
273,840
274,840
275,840
276,840
277,840
278,840
279,840
280,840
281,840
282,840
283,840
284,840
285,840
286,840
287,840
288,840
289,840
290,840
291,840
292,840
293,840
294,840
295,840
296,840
297,840
298,840
299,840
300,840
301,840
302,840
303,840
304,840
305,840
306,840
307,840
308,840
309,840
310,840
311,840
312,840
313,840
314,840
315,840
316,840
317,840
318,840
319,840
320,840
321,840
322,840
323,840
324,840
325,840
326,840
327,840
328,840
329,840
330,840
331,840
332,840
333,840
334,840
335,840
336,840
337,840
338,840
339,840
340,840
341,840
342,840
343,840
344,840
345,840
346,840
347,840
348,840
349,840
350,840
351,840
352,840
353,840
354,840
355,840
356,840
357,840
358,840
359,840
360,840
361,840
362,840
363,840
364,840
365,840
366,840
367,840
368,840
369,840
370,840
371,840
372,840
373,840
374,840
375,840
376,840
377,840
378,840
379,840
380,840
381,840
382,840
383,840
384,840
385,840
386,840
387,840
388,840
389,840
390,840
391,840
392,840
393,840
394,840
395,840
396,840
397,840
398,840
399,840
400,840
401,840
402,840
403,840
404,840
405,840
406,840
407,840
408,840
409,840
410,840
411,840
412,840
413,840
414,840
415,840
416,840
417,840
418,840
419,840
420,840
421,840
422,840
423,840
424,840
425,840
426,840
427,840
428,840
429,840
430,840
431,840
432,840
433,840
434,840
435,840
436,840
437,840
438,840
439,840
440,840
441,840
442,840
443,840
444,840
445,840
446,840
447,840
448,840
449,840
450,840
451,840
452,840
453,840
454,840
455,840
456,840
457,840
458,840
459,840
460,840
461,840
462,840
463,840
464,840
465,840
466,840
467,840
468,840
469,840
470,840
471,840
472,840
473,840
474,840
475,840
476,840
477,840
478,840
479,840
480,840
481,840
482,840
483,840
484,840
485,840
486,840
487,840
488,840
489,840
490,840
491,840
492,840
493,840
494,840
495,840
496,840
497,840
498,840
499,840
500,840
501,840
502,840
503,840
504,840
505,840
506,840
507,840
508,840
509,840
510,840
511,840
512,840
513,840
514,840
515,840
516,840
517,840
518,840
519,840
520,840
521,840
522,840
523,840
524,840
525,840
526,840
527,840
528,840
529,840
530,840
531,840
532,840
533,840
534,840
535,840
536,840
537,840
538,840
539,840
540,840
541,840
542,840
543,840
544,840
545,840
546,840
547,840
548,840
549,840
550,840
551,840
552,840
553,840
554,840
555,840
556,840
557,840
558,840
559,840
560,840
561,840
562,840
563,840
564,840
565,840
566,840
567,840
568,840
569,840
570,840
571,840
572,840
573,840
574,840
575,840
576,840
577,840
578,840
579,840
580,840
581,840
582,840
583,840
584,840
585,840
586,840
587,840
588,840
589,840
590,840
591,840
592,840
593,840
594,840
595,840
596,840
597,840
598,840
599,840
600,840
601,840
602,840
603,840
604,840
605,840
606,840
607,840
608,840
609,840
610,840
611,840
612,840
613,840
614,840
615,840
616,840
617,840
618,840
619,840
620,840
621,840
622,840
623,840
624,840
625,840
626,840
627,840
628,840
629,840
630,840
631,840
632,840
633,840
634,840
635,840
636,840
637,840
638,840
639,840
640,840
641,840
642,840
643,840
644,840
645,840
646,840
647,840
648,840
649,840
650,840
651,840
652,840
653,840
654,840
655,840
656,840
657,840
658,840
659,840
660,840
661,840
662,840
663,840
664,840
665,840
666,840
667,840
668,840
669,840
670,840
671,840
672,840
673,840
674,840
675,840
676,840
677,840
678,840
679,840
680,840
681,840
682,840
683,840
684,840
685,840
686,840
687,840
688,840
689,840
690,840
691,840
692,840
693,840
694,840
695,840
696,840
697,840
698,840
699,840
700,840
701,840
702,840
703,840
704,840
705,847
706,847
707,847
708,847
709,847
710,847
711,847
712,847
713,847
714,847
715,847
716,847
717,847
718,847
719,847
720,847
721,847
722,847
723,847
724,847
725,847
726,847
727,847
728,847
729,847
730,847
731,847
732,847
733,847
734,847
735,847
736,847
737,847
738,847
739,847
740,847
741,847
742,847
743,847
744,847
745,847
746,847
747,847
748,847
749,847
750,847
751,847
752,847
753,847
754,847
755,847
756,847
757,847
758,847
759,847
760,847
761,847
762,847
763,847
764,847
765,847
766,847
767,847
768,847
769,847
770,847
771,847
772,847
773,847
774,847
775,847
776,847
777,847
778,847
779,847
780,847
781,847
782,847
783,847
784,847
785,847
786,847
787,847
788,847
789,847
790,847
791,847
792,847
793,847
794,847
795,847
796,847
797,847
798,847
799,847
800,847
801,847
802,847
803,847
804,847
805,847
806,847
807,847
808,847
809,847
810,847
811,847
812,847
813,847
814,847
815,847
816,847
817,847
818,847
819,847
820,847
821,847
822,847
823,847
824,847
825,847
826,847
827,847
828,847
829,847
830,847
831,847
832,847
833,847
834,847
835,847
836,847
837,847
838,847
839,847
840,847
841,847
842,847
843,847
844,847
845,847
846,847
847,847
848,847
849,847
850,847
851,847
852,847
853,847
854,847
855,847
856,847
857,847
858,847
859,847
860,847
861,847
862,847
863,847
864,847
865,847
866,847
867,847
868,847
869,847
870,847
871,847
872,847
873,847
874,847
875,847
876,847
877,847
878,847
879,847
880,847
881,847
882,847
883,847
884,847
885,847
886,847
887,847
888,847
889,847
890,847
891,847
892,847
893,847
894,847
895,847
896,847
897,847
898,847
899,847
900,847
901,847
902,847
903,847
904,847
905,847
906,847
907,847
908,847
909,847
910,847
911,847
912,847
913,847
914,847
915,847
916,847
917,847
918,847
919,847
920,847
921,847
922,847
923,847
924,847
925,847
926,847
927,847
928,847
929,847
930,847
931,847
932,847
933,847
934,847
935,847
936,847
937,847
938,847
939,847
940,847
941,847
942,847
943,847
944,847
945,847
946,847
947,847
948,847
949,847
950,847
951,847
952,847
953,847
954,847
955,847
956,847
957,847
958,847
959,847
960,847
961,847
962,847
963,847
964,847
965,847
966,847
967,847
968,847
969,847
970,847
971,847
972,847
973,847
974,847
975,847
976,847
977,847
978,847
979,847
980,847
981,847
982,847
983,847
984,847
985,847
986,847
987,847
988,847
989,847
990,847
991,847
992,847
993,847
994,847
995,847
996,847
997,847
998,847
999,847
1000,847
1001,847
1002,1027
1003,1027
1004,1027
1005,1027
1006,1027
1007,1027
1008,1027
1009,1027
1010,1027
1011,1027
1012,1027
1013,1027
1014,1027
1015,1027
1016,1027
1017,1027
1018,1027
1019,1027
1020,1027
1021,1027
1022,1027
1023,1027
1024,1027
1025,1027
1026,1027
1027,1027
1028,1027
1029,1027
1030,1027
1031,1027
1032,1027
1033,1027
1034,1027
1035,1027
1036,1027
1037,1027
1038,1027
1039,1027
1040,1027
1041,1027
1042,1027
1043,1027
1044,1027
1045,1027
1046,1027
1047,1027
1048,1027
1049,1027
1050,1027
1051,1027
1052,1027
1053,1027
1054,1027
1055,1027
1056,1027
1057,1027
1058,1027
1059,1027
1060,1027
1061,1027
1062,1027
1063,1027
1064,1027
1065,1027
1066,1027
1067,1027
1068,1027
1069,1027
1070,1027
1071,1027
1072,1027
1073,1027
1074,1027
1075,1027
1076,1027
1077,1027
1078,1027
1079,1027
1080,1027
1081,1027
1082,1027
1083,1027
1084,1027
1085,1027
1086,1027
1087,1027
1088,1027
1089,1027
1090,1027
1091,1027
1092,1027
1093,1027
1094,1027
1095,1027
1096,1027
1097,1027
1098,1027
1099,1027
1100,1027
1101,1027
1102,1027
1103,1027
1104,1027
1105,1027
1106,1027
1107,1027
1108,1027
1109,1027
1110,1027
1111,1027
1112,1027
1113,1027
1114,1027
1115,1027
1116,1027
1117,1027
1118,1027
1119,1027
1120,1027
1121,1027
1122,1027
1123,1027
1124,1027
1125,1027
1126,1027
1127,1027
1128,1027
1129,1027
